remoteId,published,modified,Titolo,Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,"Leggi le informazioni dettagliate"
6155ba07becc8182b8e2c5df8b2bf001,2012-02-21T16:33:48+01:00,2013-09-11T11:02:36+02:00,"Parco Faunistico di Spormaggiore","Il Parco Faunistico di Spormaggiore nasce sull'Altopiano della Paganella in Trentino in una vasta area protetta immersa nel verde. Il Parco offre a tutti la possibilità unica di osservare da vicino l’orso bruno, il più grande mammifero che vive sulle Alpi e che è tornato a popolare i boschi trentini grazie ad un apposito progetto di reintroduzione. Potrete qui ammirarne in ambiente assolutamente naturale tre esemplari che vivono all’interno di un’area di 7000 metri quadrati.","Area faunistica",46.201821,11.010189,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-spormaggiore/parco-faunistico-di-spormaggiore/145626-410-ita-IT/Parco-Faunistico-di-Spormaggiore.jpg,"Comune di Spormaggiore","orso; parco; spormaggiore; fauna; famiglia","http://www.parcofaunistico.tn.it/|Parco Faunistico di Spormaggiore"
36e6d63cc0a4d21762f96b1ac6876616,2012-02-21T17:21:30+01:00,2014-03-12T09:50:12+01:00,"Chiesetta di San Vigilio","
San Vigilio di Molveno, del XIII secolo, è uno dei beni culturali tutelati del Trentino.
Il recente restauro conservativo sulla parte strutturale e sugli affreschi della chiesetta di San Vigilio di Molveno ha riportato al suo aspetto più autentico uno dei beni culturali tutelati del Trentino. Fu edificata nel XIII secolo e dedicata a Vigilio, vescovo di Trento morto nel 400 d.c.La facciata esterna è di notevole interesse per un ciclo di affreschi che decora la parte superiore e per un pregevole portale romanico con un affresco che raffigura il Redentore, Madonna e San Giovanni. L’interno è caratterizzato dalla presenza contestuale di un’antica chiesa in stile romanico del XIII secolo e di una successiva in stile gotico risalente al 1536. Della prima è chiaramente identificabile la struttura in pietra grigia e da notare sono l’abside riccamente dipinto, i muri perimetrali perfettamente conservati e l’affresco rappresentante l’Ultima Cena. Nella parte gotica sono venuti alla luce un frammento di Crocifissione e una porzione del fregio che adornava la volta. ",Chiesa,46.141734,10.965146,,/var/comunitapaganella/storage/images/comunita-della-paganella/il-territorio-della-paganella/luoghi/chiesetta-di-san-vigilio/146014-563-ita-IT/Chiesetta-di-San-Vigilio.jpg,"Comune di Molveno",,http://www.visittrentino.it/it/cosa_fare/da_vedere/dettagli/dett/chiesetta-di-s-vigilio|VisitTrentino
82e5720f21f0c230decbbd434838d75f,2012-02-21T17:35:16+01:00,2013-09-25T14:55:16+02:00,"Campo da calcio regolamentare Andalo","Caratteristiche: Regolamentare","Stadi - campi da calcio",46.16338,11.007545,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-andalo/campo-da-calcio-regolamentare-andalo/146160-447-ita-IT/Campo-da-calcio-regolamentare-Andalo.jpg,"Comune di Andalo","Calcio,Stadi",http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/campo-da-calcio-regolamentare-andalo|VisitTrentino
d2ed7a5a09548d7db9ba78a479858c79,2012-02-21T17:35:16+01:00,2013-09-25T14:54:00+02:00,"Campo da calcio regolamentare Molveno","Caratteristiche: Regolamentare","Stadi - campi da calcio",46.141734,10.965146,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-molveno/campo-da-calcio-regolamentare-molveno/146168-432-ita-IT/Campo-da-calcio-regolamentare-Molveno.jpg,"Comune di Molveno","Calcio,Stadi",http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/campo-da-calcio-regolamentare-molveno|VisitTrentino
fa61b93d9019e69b337060f5316b2e68,2012-02-21T17:59:18+01:00,2013-09-25T14:57:14+02:00,"Centro Sportivo Andalo","Il centro sportivo polivalente di Andalo, che si estende su una superficie di oltre 100.000 mq, offre una serie di impianti sportivi e ricreativi: dal campo di calcio, regolamentare, con pista di atletica, al minigolf, dalla palestra di roccia al campo di calcetto e basket, dal campo di pallavolo al tiro con l'arco, dalla piscina coperta al nuovissimo stadio del ghiaccio. Il tutto è stato sapientemente completato da spazi dedicati ai più piccini come Bambilandia, dove si trovano giochi gonfiabili, un'attrezzata area giochi e una nuovissima pista di macchinine elettriche. A questo fa cornice una facile passeggiata, che permette il giro completo del lago carsico di Andalo. Lungo questo circuito c’è un'area-vita attrezzata.","Centro sportivo",46.17047,11.004732,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-andalo/centro-sportivo-andalo/146268-822-ita-IT/Centro-Sportivo-Andalo.jpg,"Comune di Andalo",Tennis,http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/centro-sportivo-andalo|VisitTrentino
565f36472b880356c07552cba8c39dd5,2012-02-21T17:59:19+01:00,2013-09-25T14:57:59+02:00,"Palazzetto polifunzionale dello sport di Molveno","Posizionato in località Ischia, il Palazzetto di Molveno è una struttura polifunzionale, utilizzabile per allenamenti, incontri sportivi ed anche per convegni e riunioni. È dotato di: campo di pallavolo; campo di pallacanestro; campo di pallamano; una palestra con attrezzi ginnici che ospita anche una parete artificiale di roccia, ampi spogliatoi e idonei servizi; una sala per l’attrezzistica; tre sale per associazioni. Ha una tribuna con 600 posti a sedere, che possono raddoppiare nel caso venga organizzata una manifestazione di grande richiamo.","Centro sportivo",46.141734,10.965146,"loc. Ischia Molveno",/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-molveno/palazzetto-polifunzionale-dello-sport-di-molveno/146276-982-ita-IT/Palazzetto-polifunzionale-dello-sport-di-Molveno.jpg,"Comune di Molveno",Tennis,http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/palazzetto-polifunzionale-dello-sport-molveno|VisitTrentino
2dea7fe491eed66ed434182e3320e6b3,2012-02-21T18:15:20+01:00,2014-03-12T10:41:53+01:00,"Forest Park","
Prova la sensazione di volare tra una pianta e l'altra al Parco Avventura &quot;Forest Park&quot; sull'Altopiano di Pradel, sopra Molveno! Un'occasione imperdibile per bambini e ragazzi per vivere emozionanti avventure a stretto contatto con la natura. Si possono scegliere cinque diversi tipi di percorsi caratterizzati da diversa difficoltà e lunghezza. Ponti tibetani, passaggi su tronchi mobili, liane e reti sospesi nel vuoto organizzati in percorsi adatti a tutte le età. Per vedere il bosco con gli occhi di uno scoiattolo...Elemento essenziale del Forest Park sono gli alberi: maestosi fusti di abete rosso e faggio. Per questo il rispetto dell'ambiente bosco è una reale priorità al pari della sicurezza degli utenti. Già dal momento dell'installazione vengono utilizzate tecniche di risalita in pianta approvate da scuole internazionali di Tree Climbing che permettono lavori aerei senza danneggiare la pianta. Tutti gli ancoraggi dei cavi d'acciaio avvengono proteggendo completamente la corteccia con una bordura in legno, in modo da evitare lo strozzamento del fusto. Nessun motore, nessuna struttura a danno della natura, non un grammo di cemento.","Parco avventura",46.141734,10.965146,,/var/comunitapaganella/storage/images/comunita-della-paganella/il-territorio-della-paganella/tempo-libero/forest-park/146568-2-ita-IT/Forest-Park.gif,"Comune di Molveno",,http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/forest-park|VisitTrentino
434704891b53fe028ab7315a52afc996,2012-02-21T18:22:14+01:00,2014-09-26T12:33:58+02:00,"Tapis Roulant Rolly Marchi","Il Campo Scuola Sci con Tapis Roulant ROLLY MARCHI si trova in località La Rocca, a mt 1450. È possibile accedere alla struttura in pochi minuti, partendo con la seggiovia a 4 posti in una sola tratta dal Santel di Fai della Paganella al rifugio La Rocca. ","Parco giochi",46.174477,11.04753,,/var/comunitapaganella/storage/images/comunita-della-paganella/il-territorio-della-paganella/sport/tapis-roulant-rolly-marchi/146626-1-ita-IT/Tapis-Roulant-Rolly-Marchi.jpg,"Comune di Fai della Paganella",,http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/tapis-roulant-rolly-marchi|VisitTrentino
6fedbb7eb03dd895063716e3bfd4ec19,2012-02-21T18:22:16+01:00,2014-03-12T10:43:20+01:00,"Paganella Fun Park","
Un vero parco giochi sulla neve nel centro del paese!
Il Paganella Fun Park è un parco divertimenti sulla neve situato nel centro paese di Fai della Paganella, a pochissimi chilometri da Trento, che nasce da un progetto ambizioso: creare un’area in cui i bambini possano divertirsi in sicurezza e dove anche i genitori possano rilassarsi e spendere del tempo prezioso con loro, perché si sa, nulla è importante come trascorrere del tempo con la propria famiglia.
Il Paganella Fun Park si estende su una superficie di due ettari e al suo interno è possibile trovare diverse piste dedicate alla discesa di bob, snowtubing ed airboard, una baby pista certificata ideale per muovere i primi passi sugli sci o snowboard, grazie anche alla possibilità di prendere lezioni con i maestri della Scuola Italiana di Sci, e una coloratissima area giochi gonfiabili dedicata ai bambini più piccoli!
Il parco divertimenti sulla neve, sempre attento alle ultime novità in fatto di attrazioni e divertimenti sulla neve, ha proposto un’attrazione nuova ogni anno dal 2010, ed è così possibile provare al Paganella Fun Park l’ebrezza di rotolare giù per il pendio grazie alla SnowBall, riposarsi all’interno di un magico Igloo riscaldato e guidare mini-motoslitte su neve fresca! Inoltre, all'interno del parco divertimenti sulla neve, è possibile pranzare con deliziosi panini o fare golosissime merende in un Bar riscaldato, senza poi contare la possibilità di godere di una tintarella invernale grazie alle presenza di un solarium naturale posto ai piedi di uno scenario mozzafiato come quello della cima innevata della Paganella.
La passione per il progetto e l’esperienza maturata anno dopo anno, inverno dopo inverno, hanno permesso di creare un parco divertimenti sulla neve sicuro ed in grado di soddisfare le esigenze di tutta la famiglia.Tutti i giorni dalle 10:00 alle 17:00","Snow park",46.176969,11.070578,,/var/comunitapaganella/storage/images/comunita-della-paganella/il-territorio-della-paganella/tempo-libero/paganella-fun-park/146650-1-ita-IT/Paganella-Fun-Park.jpg,"Comune di Fai della Paganella",,"http://www.paganellafunpark.it/|Paganella Fun Park"
c08397a3b9c4bddc072ff8a922ea1f33,2012-02-21T18:22:17+01:00,2013-09-25T15:00:56+02:00,"Pinocchio Club Andalo","Miniclub presso il campo scuola in località Rindole, PINOCCHIO CLUB è una struttura che accoglie i bambini dai 3 anni in su. Raggiungibile dal paese di Andalo con lo skibus o a piedi e dalle piste direttamente con gli sci. È curato da personale specializzato e attrezzato con materiali ludici e didattici.",,46.160645,11.006613,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-andalo/pinocchio-club-andalo/146666-1-ita-IT/Pinocchio-Club-Andalo.jpg,"Comune di Andalo",,http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/pinocchio-club-andalo|VisitTrentino
bbfefe205cf5b84141cb0157a8e06104,2012-02-21T18:40:07+01:00,2013-09-26T17:10:10+02:00,"Andalo - Pradel - Lago di Molveno - Andalo (Paganella Bike)","Un percorso in cui spiccano due panorami incredibili: il Campanil Basso, guglia simbolo delle Dolomiti di Brenta, e il Lago di Molveno.Dal parco pubblico di Andalo, si segue la stradina per il Lago e la località Priori (campo sportivo e prati) quindi, tenendo sempre la propria sinistra, quella verso Malga Dagnola/Malga Spora che sale attraversando con alcuni tornanti il bosco. Alla fine d’una salita abbastanza ripida, s’imbocca la deviazione a sinistra (tabella Paganella Bike) sbucando in un prato. Il percorso ora pianeggiante sfiora il vivaio forestale e quindi porta dalla foresta alla strada principale sterrata: piegando a destra, si affronta la salita che porterà in circa 1,5 km a Pradel, balconata naturale sul lago di Molveno, e fra una pedalata e l’altra è d’obbligo alzare lo sguardo ed ammirare il profilo del Capmanil Basso che st staglia contro il cielo. E’ una montagna inconfondibile, simbolo in tutto il mondo delle Dolomiti di Brenta. La prima tratta del rientro avviene in discesa per la stesa strada (circa 1,5 km); quindi al parcheggio in località Valbiole si imbocca la stradina a destra e transitando vicino alla Chiesetta degli Alpini, si compie una bellissima e panoramica discesa su Molveno con una vista completa sul lago e le montagne che ne fanno corona. Dal centro abitato vale la pena di raggiungere la bella spiaggia pubblica (con un prato all’inglese incredibile!) e godere di qualche attimo di relax prima di imboccare la strada statale in direzione di San Lorenzo in Banale e, appena superato il ponte, quella sulla propria sinistra (tabella Paganella Bike) verso la località Fontanelle. Di qui si seguono ancora le indicazioni del tracciato della gara e si rientra ad Andalo per un bellissimo percorso in lieve salita che costeggia il torrente Lambin, all’ombra del bosco.","Mountain Bike",46.16338,11.007545,,/var/comunitapaganella/storage/images/comunita-della-paganella/il-territorio-della-paganella/itinerari/andalo-pradel-lago-di-molveno-andalo-paganella-bike/156091-436-ita-IT/Andalo-Pradel-Lago-di-Molveno-Andalo-Paganella-Bike.jpg,"Comune di Andalo
Comune di Molveno","Mountain Bike",http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/sull-altopiano-della-paganella-andalo-pradel-lago-di-molveno-andalo-paganella-bike|VisitTrentino
48ebd6e64e8757412f739a288e7422b2,2012-02-21T18:48:00+01:00,2013-04-30T11:28:07+02:00,"Andalo, veduta invernale","1040 m. sul livello del mare","Località turistica",46.16338,11.007545,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-andalo/andalo-veduta-invernale/156333-190-ita-IT/Andalo-veduta-invernale.jpg,"Comune di Andalo",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
3052b216071309c97f95016a21c73ae0,2012-02-21T18:48:25+01:00,2013-04-30T11:30:40+02:00,"Cavedago, panorama invernale","864 m. sul livello del mare","Località turistica",46.185216,11.006805,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-cavedago/cavedago-panorama-invernale/156629-167-ita-IT/Cavedago-panorama-invernale.jpg,"Comune di Cavedago",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
a010ebb0a434f547096e1178055b01bd,2012-02-21T18:48:39+01:00,2013-04-30T11:32:15+02:00,"Paganella, paesaggio invernale","1030 m. sul livello del mare","Località turistica",46.178281,11.069331,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-fai-della-paganella/paganella-paesaggio-invernale/156845-153-ita-IT/Paganella-paesaggio-invernale.jpg,"Comune di Fai della Paganella",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
2e003096bec060eea81852929396c061,2012-02-21T18:49:03+01:00,2013-04-30T11:34:57+02:00,"Molveno, panorama invernale","864 m. sul livello del mare","Località turistica",46.141734,10.965146,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-molveno/molveno-panorama-invernale/157125-136-ita-IT/Molveno-panorama-invernale.jpg,"Comune di Molveno",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
b2c6bc811a09a274bffeb96cd14837e4,2012-02-21T18:49:30+01:00,2013-04-30T11:38:50+02:00,"Spormaggiore, Castel Belfort","754 m. sul livello del mare","Località turistica",46.201821,11.010189,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-spormaggiore/spormaggiore-castel-belfort/157573-118-ita-IT/Spormaggiore-Castel-Belfort.jpg,"Comune di Spormaggiore",,http://www.visittrentino.it/it/trentino/localita_turistiche|VisitTrentino
53380af04fde286afebc78f0c670a545,2012-02-22T12:47:36+01:00,2013-09-25T15:26:41+02:00,"Scuola Italiana Sci Dolomiti di Brenta","Noleggio attrezzature sportive","Noleggio attrezzature sportive",46.16338,11.007545,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-andalo/scuola-italiana-sci-dolomiti-di-brenta/201003-667-ita-IT/Scuola-Italiana-Sci-Dolomiti-di-Brenta.jpg,"Comune di Andalo","Noleggi attrezzature sportive",http://www.visittrentino.it/it/cosa_fare/sport/dettagli/dett/scuola-italiana-sci-bike|VisitTrentino
dc6f66faefee910ac478e1aa1b24cb19,2012-02-22T13:16:17+01:00,2013-03-28T18:57:09+01:00,"Scuola di Sci Nuova Andalo",,"Sci alpinismo / Sci Escursionismo",46.163947,11.003738,,/var/comunitapaganella/storage/images/comunita-della-paganella/i-comuni/comune-di-andalo/scuola-di-sci-nuova-andalo/202515-346-ita-IT/Scuola-di-Sci-Nuova-Andalo.jpg,"Comune di Andalo","Scuole di Sci",http://www.visittrentino.it/it/cosa_fare/sport/risultati?st=Sport+-+Strutture&stt=Scuole+di+Sci&sportType=sport.categoria.1&sportSubType=sport.categorieRicerca.32|VisitTrentino
